ï»¿"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"SBIN","EQ","01-Jun-2023","579.85","581.80","586.40","581.00","583.05","582.75","584.03","1,78,20,226","10,40,75,10,474.15","1,70,662","64,47,653","36.18"
"SBIN","EQ","02-Jun-2023","582.75","584.70","588.90","583.00","586.60","587.20","586.45","1,13,23,908","6,64,09,01,519.45","1,57,397","40,19,066","35.49"
"SBIN","EQ","05-Jun-2023","587.20","588.50","589.80","586.00","587.00","587.20","587.86","1,29,20,507","7,59,54,73,740.25","1,43,514","69,13,408","53.51"
"SBIN","EQ","06-Jun-2023","587.20","588.00","588.90","583.00","586.00","585.35","585.23","1,11,99,940","6,55,45,43,425.95","1,40,444","44,30,081","39.55"
"SBIN","EQ","07-Jun-2023","585.35","588.00","590.60","586.00","588.80","589.20","588.49","1,11,13,781","6,54,03,71,617.50","1,70,307","43,72,718","39.35"
"SBIN","EQ","08-Jun-2023","589.20","589.95","593.95","586.35","588.00","588.50","591.21","1,59,71,917","9,44,27,24,430.85","1,40,988","45,90,648","28.74"
"SBIN","EQ","09-Jun-2023","588.50","588.00","589.10","576.75","578.80","578.70","580.81","1,88,70,272","10,96,00,50,604.80","2,53,490","87,73,204","46.49"
